query,rank,doc_id,document_id,section,similarity,text
baseline,1,d6,report-01,결론,0.5313,"리모트워크 제도는 임직원 만족도와 생산성 측면에서 긍정적인 효과를 보였으나, 협업과 온보딩 절차에 대한 보완이 필요하다."
baseline,2,d3,report-01,만족도 조사 결과,0.5001,"전체 응답자의 74%가 리모트워크 제도에 만족한다고 응답하였다. 불만족 사유로는 협업 지연, 화상회의 피로도, 장비 지원 부족 순으로 나타났다."
baseline,3,d2,report-01,운영 현황,0.4372,"2025년 기준 전체 임직원의 62%가 주 2회 이상 리모트워크를 사용하였다. 부서별로는 개발팀의 사용률이 81%로 가장 높았고, 영업팀은 24%로 가장 낮았다."
top1_top3_top1,1,d5,report-01,개선 방향,0.3075,"2026년에는 팀별 필수 출근일을 지정하고, 화상회의 시간을 기본 30분으로 단축하는 가이드라인을 도입할 예정이다."
top1_top3_top3,1,d5,report-01,개선 방향,0.3075,"2026년에는 팀별 필수 출근일을 지정하고, 화상회의 시간을 기본 30분으로 단축하는 가이드라인을 도입할 예정이다."
top1_top3_top3,2,d8,guide-01,재택근무 가이드,0.302,재택근무를 하는 직원은 매일 오전 정기 화상 회의에 접속해 업무 현황을 공유해야 한다.
top1_top3_top3,3,d3,report-01,만족도 조사 결과,0.2471,"전체 응답자의 74%가 리모트워크 제도에 만족한다고 응답하였다. 불만족 사유로는 협업 지연, 화상회의 피로도, 장비 지원 부족 순으로 나타났다."
short_query,1,d8,guide-01,재택근무 가이드,0.2971,재택근무를 하는 직원은 매일 오전 정기 화상 회의에 접속해 업무 현황을 공유해야 한다.
short_query,2,d9,notice-01,사내 동호회,0.2906,이번 분기 사내 등산 동호회 정기 모임은 다음 달 첫째 주 토요일에 진행된다.
short_query,3,d5,report-01,개선 방향,0.2584,"2026년에는 팀별 필수 출근일을 지정하고, 화상회의 시간을 기본 30분으로 단축하는 가이드라인을 도입할 예정이다."
specific_query,1,d5,report-01,개선 방향,0.4935,"2026년에는 팀별 필수 출근일을 지정하고, 화상회의 시간을 기본 30분으로 단축하는 가이드라인을 도입할 예정이다."
specific_query,2,d8,guide-01,재택근무 가이드,0.4153,재택근무를 하는 직원은 매일 오전 정기 화상 회의에 접속해 업무 현황을 공유해야 한다.
specific_query,3,d7,report-01,임원 반응,0.361,일부 임원진은 신규 리모트워크 정책 확대에 회의적인 시각을 보였다.
original_term,1,d6,report-01,결론,0.5207,"리모트워크 제도는 임직원 만족도와 생산성 측면에서 긍정적인 효과를 보였으나, 협업과 온보딩 절차에 대한 보완이 필요하다."
original_term,2,d2,report-01,운영 현황,0.478,"2025년 기준 전체 임직원의 62%가 주 2회 이상 리모트워크를 사용하였다. 부서별로는 개발팀의 사용률이 81%로 가장 높았고, 영업팀은 24%로 가장 낮았다."
original_term,3,d8,guide-01,재택근무 가이드,0.4661,재택근무를 하는 직원은 매일 오전 정기 화상 회의에 접속해 업무 현황을 공유해야 한다.
synonym,1,d8,guide-01,재택근무 가이드,0.7281,재택근무를 하는 직원은 매일 오전 정기 화상 회의에 접속해 업무 현황을 공유해야 한다.
synonym,2,d2,report-01,운영 현황,0.3871,"2025년 기준 전체 임직원의 62%가 주 2회 이상 리모트워크를 사용하였다. 부서별로는 개발팀의 사용률이 81%로 가장 높았고, 영업팀은 24%로 가장 낮았다."
synonym,3,d3,report-01,만족도 조사 결과,0.3811,"전체 응답자의 74%가 리모트워크 제도에 만족한다고 응답하였다. 불만족 사유로는 협업 지연, 화상회의 피로도, 장비 지원 부족 순으로 나타났다."
without_filter,1,d8,guide-01,재택근무 가이드,0.3596,재택근무를 하는 직원은 매일 오전 정기 화상 회의에 접속해 업무 현황을 공유해야 한다.
without_filter,2,d7,report-01,임원 반응,0.347,일부 임원진은 신규 리모트워크 정책 확대에 회의적인 시각을 보였다.
without_filter,3,d5,report-01,개선 방향,0.3377,"2026년에는 팀별 필수 출근일을 지정하고, 화상회의 시간을 기본 30분으로 단축하는 가이드라인을 도입할 예정이다."
with_filter,1,d7,report-01,임원 반응,0.347,일부 임원진은 신규 리모트워크 정책 확대에 회의적인 시각을 보였다.
with_filter,2,d5,report-01,개선 방향,0.3377,"2026년에는 팀별 필수 출근일을 지정하고, 화상회의 시간을 기본 30분으로 단축하는 가이드라인을 도입할 예정이다."
with_filter,3,d3,report-01,만족도 조사 결과,0.3083,"전체 응답자의 74%가 리모트워크 제도에 만족한다고 응답하였다. 불만족 사유로는 협업 지연, 화상회의 피로도, 장비 지원 부족 순으로 나타났다."
