query,rank,doc_id,scope,chapter,article,article_title,chunk_type,similarity,text
baseline,1,ai-trust-basic-act-20676-main-article-34,본칙,제4장 인공지능윤리 및 신뢰성 확보,제34조,고영향 인공지능과 관련한 사업자의 책무,article,0.6508,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제34조(고영향 인공지능과 관련한 사업자의 책무)
① 인공지능사업자는 고영향 인공지능 또는 이를 이용한 제품ㆍ서비스를 제공하는 경우 고영향 인공지능의 안전성ㆍ신뢰성을 확보하기 위하여 다음 각 호의 내용을 포함하는 조치를 대통령령으로 정하는 바에 따라 이행하여야 한다.
1. 위험관리방안의 수립ㆍ운영
2. 기술적으로 가능한 범위에서의 인공지능이 도출한 최종결과, 인공지능의 최종결과 도출에 활용된 주요 기준, 인공지능의 개발ㆍ활용에 사용된 학습용데이터의 개요 등에 대한 설명 방안의 수립ㆍ시행
3. 이용자 보호 방안의 수립ㆍ운영
4. 고영향 인공지능에 대한 사람의 관리ㆍ감독
5. 안전성ㆍ신뢰성 확보를 위한 조치의 내용을 확인할 수 있는 문서의 작성과 보관
6. 그 밖에 고영향 인공지능의 안전성ㆍ신뢰성 확보를 위하여 위원회에서 심의ㆍ의결된 사항
② 과학기술정보통신부장관은 제1항 각 호에 따른 조치의 구체적인 사항을 정하여 고시하고, 인공지능사업자에게 이를 준수하도록 권고할 수 있다.
③ 인공지능사업자가 다른 법령에 따라 제1항 각 호에 준하는 조치를 대통령령으로 정하는 바에 따라 이행한 경우에는 제1항에 따른 조치를 이행한 것으로 본다."
baseline,2,ai-trust-basic-act-20676-main-article-33,본칙,제4장 인공지능윤리 및 신뢰성 확보,제33조,고영향 인공지능의 확인,article,0.6464,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제33조(고영향 인공지능의 확인)
① 인공지능사업자는 인공지능 또는 이를 이용한 제품ㆍ서비스를 제공하는 경우 그 인공지능이 고영향 인공지능에 해당하는지에 대하여 사전에 검토하여야 하며, 필요한 경우 과학기술정보통신부장관에게 고영향 인공지능에 해당하는지 여부의 확인을 요청할 수 있다.
② 과학기술정보통신부장관은 제1항에 따른 요청이 있는 경우 고영향 인공지능 해당 여부를 확인하여야 하며, 필요한 경우 전문위원회를 설치하여 관련 자문을 받을 수 있다.
③ 과학기술정보통신부장관은 고영향 인공지능의 기준과 예시 등에 관한 가이드라인을 수립하여 보급할 수 있다.
④ 그 밖에 제1항에 따른 확인 절차 등에 관하여 필요한 사항은 대통령령으로 정한다."
baseline,3,ai-trust-basic-act-20676-main-article-35,본칙,제4장 인공지능윤리 및 신뢰성 확보,제35조,고영향 인공지능 영향평가,article,0.6211,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제35조(고영향 인공지능 영향평가)
① 인공지능사업자가 고영향 인공지능을 이용한 제품 또는 서비스를 제공하는 경우 사전에 사람의 기본권에 미치는 영향을 평가(이하 “영향평가”라 한다)하기 위하여 노력하여야 한다.
② 국가기관등이 고영향 인공지능을 이용한 제품 또는 서비스를 이용하려는 경우에는 영향평가를 실시한 제품 또는 서비스를 우선적으로 고려하여야 한다.
③ 그 밖에 영향평가의 구체적인 내용ㆍ방법 등에 관하여 필요한 사항은 대통령령으로 정한다."
baseline,4,ai-trust-basic-act-20676-main-article-32,본칙,제4장 인공지능윤리 및 신뢰성 확보,제32조,인공지능 안전성 확보 의무,article,0.6198,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제32조(인공지능 안전성 확보 의무)
① 인공지능사업자는 학습에 사용된 누적 연산량이 대통령령으로 정하는 기준 이상인 인공지능시스템의 안전성을 확보하기 위하여 다음 각 호의 사항을 이행하여야 한다.
1. 인공지능 수명주기 전반에 걸친 위험의 식별ㆍ평가 및 완화
2. 인공지능 관련 안전사고를 모니터링하고 대응하는 위험관리체계 구축
② 인공지능사업자는 제1항 각 호에 따른 사항의 이행 결과를 과학기술정보통신부장관에게 제출하여야 한다.
③ 과학기술정보통신부장관은 제1항 각 호에 따른 사항의 구체적인 이행 방식 및 제2항에 따른 결과 제출 등에 필요한 사항을 정하여 고시하여야 한다."
baseline,5,ai-trust-basic-act-20676-main-article-30,본칙,제4장 인공지능윤리 및 신뢰성 확보,제30조,인공지능 안전성ㆍ신뢰성 검ㆍ인증등 지원,article,0.608,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제30조(인공지능 안전성ㆍ신뢰성 검ㆍ인증등 지원)
① 과학기술정보통신부장관은 단체등이 인공지능의 안전성ㆍ신뢰성 확보를 위하여 자율적으로 추진하는 검증ㆍ인증 활동(이하 “검ㆍ인증등”이라 한다)을 지원하기 위하여 다음 각 호의 사업을 추진할 수 있다.
1. 인공지능의 개발에 관한 가이드라인 보급
2. 검ㆍ인증등에 관한 연구의 지원
3. 검ㆍ인증등에 이용되는 장비 및 시스템의 구축ㆍ운영 지원
4. 검ㆍ인증등에 필요한 전문인력의 양성 지원
5. 그 밖에 검ㆍ인증등을 지원하기 위하여 대통령령으로 정하는 사항
② 과학기술정보통신부장관은 검ㆍ인증등을 받고자 하는 중소기업등에 대하여 대통령령으로 정하는 바에 따라 관련 정보를 제공하거나 행정적ㆍ재정적 지원을 할 수 있다.
③ 인공지능사업자가 고영향 인공지능을 제공하는 경우 사전에 검ㆍ인증등을 받도록 노력하여야 한다.
④ 국가기관등이 고영향 인공지능을 이용하려는 경우에는 검ㆍ인증등을 받은 인공지능에 기반한 제품 또는 서비스를 우선적으로 고려하여야 한다."
top1,1,ai-trust-basic-act-20676-main-article-31,본칙,제4장 인공지능윤리 및 신뢰성 확보,제31조,인공지능 투명성 확보 의무,article,0.4668,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제31조(인공지능 투명성 확보 의무)
① 인공지능사업자는 고영향 인공지능이나 생성형 인공지능을 이용한 제품 또는 서비스를 제공하려는 경우 제품 또는 서비스가 해당 인공지능에 기반하여 운용된다는 사실을 이용자에게 사전에 고지하여야 한다.
② 인공지능사업자는 생성형 인공지능 또는 이를 이용한 제품 또는 서비스를 제공하는 경우 그 결과물이 생성형 인공지능에 의하여 생성되었다는 사실을 표시하여야 한다.
③ 인공지능사업자는 인공지능시스템을 이용하여 실제와 구분하기 어려운 가상의 음향, 이미지 또는 영상 등의 결과물을 제공하는 경우 해당 결과물이 인공지능시스템에 의하여 생성되었다는 사실을 이용자가 명확하게 인식할 수 있는 방식으로 고지 또는 표시하여야 한다. 이 경우 해당 결과물이 예술적ㆍ창의적 표현물에 해당하거나 그 일부를 구성하는 경우에는 전시 또는 향유 등을 저해하지 아니하는 방식으로 고지 또는 표시할 수 있다.
④ 그 밖에 제1항에 따른 사전고지, 제2항에 따른 표시, 제3항에 따른 고지 또는 표시의 방법 및 그 예외 등에 관하여 필요한 사항은 대통령령으로 정한다."
top5,1,ai-trust-basic-act-20676-main-article-31,본칙,제4장 인공지능윤리 및 신뢰성 확보,제31조,인공지능 투명성 확보 의무,article,0.4668,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제31조(인공지능 투명성 확보 의무)
① 인공지능사업자는 고영향 인공지능이나 생성형 인공지능을 이용한 제품 또는 서비스를 제공하려는 경우 제품 또는 서비스가 해당 인공지능에 기반하여 운용된다는 사실을 이용자에게 사전에 고지하여야 한다.
② 인공지능사업자는 생성형 인공지능 또는 이를 이용한 제품 또는 서비스를 제공하는 경우 그 결과물이 생성형 인공지능에 의하여 생성되었다는 사실을 표시하여야 한다.
③ 인공지능사업자는 인공지능시스템을 이용하여 실제와 구분하기 어려운 가상의 음향, 이미지 또는 영상 등의 결과물을 제공하는 경우 해당 결과물이 인공지능시스템에 의하여 생성되었다는 사실을 이용자가 명확하게 인식할 수 있는 방식으로 고지 또는 표시하여야 한다. 이 경우 해당 결과물이 예술적ㆍ창의적 표현물에 해당하거나 그 일부를 구성하는 경우에는 전시 또는 향유 등을 저해하지 아니하는 방식으로 고지 또는 표시할 수 있다.
④ 그 밖에 제1항에 따른 사전고지, 제2항에 따른 표시, 제3항에 따른 고지 또는 표시의 방법 및 그 예외 등에 관하여 필요한 사항은 대통령령으로 정한다."
top5,2,ai-trust-basic-act-20676-main-article-2-part-05,본칙,제1장 총칙,제2조,정의,item,0.4485,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
5. “생성형 인공지능”이란 입력한 데이터(「데이터 산업진흥 및 이용촉진에 관한 기본법」 제2조제1호에 따른 데이터를 말한다. 이하 같다)의 구조와 특성을 모방하여 글, 소리, 그림, 영상, 그 밖의 다양한 결과물을 생성하는 인공지능시스템을 말한다."
top5,3,ai-trust-basic-act-20676-main-article-2-part-09,본칙,제1장 총칙,제2조,정의,item,0.4441,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
9. “영향받는 자”란 인공지능제품 또는 인공지능서비스에 의하여 자신의 생명, 신체의 안전 및 기본권에 중대한 영향을 받는 자를 말한다."
top5,4,ai-trust-basic-act-20676-main-article-2-part-02,본칙,제1장 총칙,제2조,정의,item,0.4428,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
2. “인공지능시스템”이란 다양한 수준의 자율성과 적응성을 가지고 주어진 목표를 위하여 실제 및 가상환경에 영향을 미치는 예측, 추천, 결정 등의 결과물을 추론하는 인공지능 기반 시스템을 말한다."
top5,5,ai-trust-basic-act-20676-main-article-2-part-12,본칙,제1장 총칙,제2조,정의,item,0.4313,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
12. “학습용데이터”란 인공지능의 개발ㆍ활용 등에 사용되는 데이터를 말한다.
[시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분"
short_query,1,ai-trust-basic-act-20676-main-article-31,본칙,제4장 인공지능윤리 및 신뢰성 확보,제31조,인공지능 투명성 확보 의무,article,0.3279,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제31조(인공지능 투명성 확보 의무)
① 인공지능사업자는 고영향 인공지능이나 생성형 인공지능을 이용한 제품 또는 서비스를 제공하려는 경우 제품 또는 서비스가 해당 인공지능에 기반하여 운용된다는 사실을 이용자에게 사전에 고지하여야 한다.
② 인공지능사업자는 생성형 인공지능 또는 이를 이용한 제품 또는 서비스를 제공하는 경우 그 결과물이 생성형 인공지능에 의하여 생성되었다는 사실을 표시하여야 한다.
③ 인공지능사업자는 인공지능시스템을 이용하여 실제와 구분하기 어려운 가상의 음향, 이미지 또는 영상 등의 결과물을 제공하는 경우 해당 결과물이 인공지능시스템에 의하여 생성되었다는 사실을 이용자가 명확하게 인식할 수 있는 방식으로 고지 또는 표시하여야 한다. 이 경우 해당 결과물이 예술적ㆍ창의적 표현물에 해당하거나 그 일부를 구성하는 경우에는 전시 또는 향유 등을 저해하지 아니하는 방식으로 고지 또는 표시할 수 있다.
④ 그 밖에 제1항에 따른 사전고지, 제2항에 따른 표시, 제3항에 따른 고지 또는 표시의 방법 및 그 예외 등에 관하여 필요한 사항은 대통령령으로 정한다."
short_query,2,ai-trust-basic-act-20676-main-article-27,본칙,제4장 인공지능윤리 및 신뢰성 확보,제27조,인공지능 윤리원칙 등,article,0.2768,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제27조(인공지능 윤리원칙 등)
① 정부는 인공지능윤리의 확산을 위하여 다음 각 호의 사항을 포함하는 인공지능 윤리원칙(이하 “윤리원칙”이라 한다)을 대통령령으로 정하는 바에 따라 제정ㆍ공표할 수 있다.
1. 인공지능의 개발ㆍ활용 등의 과정에서 사람의 생명과 신체, 정신적 건강 등에 해가 되지 아니하도록 하는 안전성과 신뢰성에 관한 사항
2. 인공지능기술이 적용된 제품ㆍ서비스 등을 모든 사람이 자유롭고 편리하게 이용할 수 있는 접근성에 관한 사항
3. 사람의 삶과 번영에의 공헌을 위한 인공지능의 개발ㆍ활용 등에 관한 사항
② 과학기술정보통신부장관은 사회 각계의 의견을 수렴하여 윤리원칙이 인공지능의 개발ㆍ활용 등에 관여하는 모든 사람에 의하여 실현될 수 있도록 실천방안을 수립하고 이를 공개 및 홍보ㆍ교육하여야 한다.
③ 중앙행정기관 또는 지방자치단체의 장이 인공지능윤리기준(그 명칭 및 형태를 불문하고 인공지능윤리에 관한 법령, 기준, 지침, 가이드라인 등을 말한다)을 제정하거나 개정하는 경우 과학기술정보통신부장관은 윤리원칙 및 제2항에 따른 실천방안과의 연계성ㆍ정합성 등에 관한 권고 또는 의견의 표명을 할 수 있다."
short_query,3,ai-trust-basic-act-20676-main-article-2-part-04,본칙,제1장 총칙,제2조,정의,item,0.2753,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
4. “고영향 인공지능”이란 사람의 생명, 신체의 안전 및 기본권에 중대한 영향을 미치거나 위험을 초래할 우려가 있는 인공지능시스템으로서 다음 각 목의 어느 하나의 영역에서 활용되는 것을 말한다.
가.「에너지법」 제2조제1호에 따른 에너지의 공급
나.「먹는물관리법」 제3조제1호에 따른 먹는물의 생산 공정
다.「보건의료기본법」 제3조제1호에 따른 보건의료의 제공 및 이용체계의 구축ㆍ운영
라.「의료기기법」 제2조제1항에 따른 의료기기 및 「디지털의료제품법」 제2조제2호에 따른 디지털의료기기의 개발 및 이용
마.「원자력시설 등의 방호 및 방사능 방재 대책법」 제2조제1항제1호에 따른 핵물질과 같은 항 제2호에 따른 원자력시설의 안전한 관리 및 운영
바.범죄 수사나 체포 업무를 위한 생체인식정보(얼굴ㆍ지문ㆍ홍채 및 손바닥 정맥 등 개인을 식별할 수 있는 신체적ㆍ생리적ㆍ행동적 특징에 관한 개인정보를 말한다)의 분석ㆍ활용
사.채용, 대출 심사 등 개인의 권리ㆍ의무 관계에 중대한 영향을 미치는 판단 또는 평가
아.「교통안전법」 제2조제1호부터 제3호까지에 따른 교통수단, 교통시설, 교통체계의 주요한 작동 및 운영
자.공공서비스 제공에 필요한 자격 확인 및 결정 또는 비용징수 등 국민에게 영향을 미치는 국가, 지방자치단체, 「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관 등(이하 “국가기관등”이라 한다)의 의사결정
차.「교육기본법」 제9조제1항에 따른 유아교육ㆍ초등교육 및 중등교육에서의 학생 평가
카.그 밖에 사람의 생명ㆍ신체의 안전 및 기본권 보호에 중대한 영향을 미치는 영역으로서 대통령령으로 정하는 영역"
short_query,4,ai-trust-basic-act-20676-main-article-42,본칙,제6장 벌칙,제42조,벌칙,article,0.2679,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제6장 벌칙
제42조(벌칙)
제7조제9항을 위반하여 직무상 알게 된 비밀을 타인에게 누설하거나 직무상 목적 외의 용도로 사용한 자는 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다."
short_query,5,ai-trust-basic-act-20676-main-article-38,본칙,제5장 보칙,제38조,"실태조사, 통계 및 지표의 작성",article,0.2609,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제5장 보칙
제38조(실태조사, 통계 및 지표의 작성)
① 과학기술정보통신부장관은 국가데이터처장과 협의하여 기본계획 및 인공지능등 관련 시책과 사업의 기획ㆍ수립ㆍ추진을 위하여 국내외 인공지능등에 관한 실태조사, 통계 및 지표를 「과학기술기본법」 제26조의2에 따른 통계와 연계하여 작성ㆍ관리하고 공표하여야 한다.<개정 2025. 10. 1.>
② 과학기술정보통신부장관은 제1항에 따른 통계 및 지표의 작성을 위하여 관계 중앙행정기관의 장, 지방자치단체의 장 및 공공기관의 장에게 자료의 제출 등 협조를 요청할 수 있다. 이 경우 협조를 요청받은 기관의 장은 특별한 사정이 없으면 이에 따라야 한다.
③ 그 밖에 제1항에 따른 실태조사, 통계 및 지표의 작성ㆍ관리 및 공표 등에 필요한 사항은 대통령령으로 정한다."
specific_query,1,ai-trust-basic-act-20676-main-article-31,본칙,제4장 인공지능윤리 및 신뢰성 확보,제31조,인공지능 투명성 확보 의무,article,0.553,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제4장 인공지능윤리 및 신뢰성 확보
제31조(인공지능 투명성 확보 의무)
① 인공지능사업자는 고영향 인공지능이나 생성형 인공지능을 이용한 제품 또는 서비스를 제공하려는 경우 제품 또는 서비스가 해당 인공지능에 기반하여 운용된다는 사실을 이용자에게 사전에 고지하여야 한다.
② 인공지능사업자는 생성형 인공지능 또는 이를 이용한 제품 또는 서비스를 제공하는 경우 그 결과물이 생성형 인공지능에 의하여 생성되었다는 사실을 표시하여야 한다.
③ 인공지능사업자는 인공지능시스템을 이용하여 실제와 구분하기 어려운 가상의 음향, 이미지 또는 영상 등의 결과물을 제공하는 경우 해당 결과물이 인공지능시스템에 의하여 생성되었다는 사실을 이용자가 명확하게 인식할 수 있는 방식으로 고지 또는 표시하여야 한다. 이 경우 해당 결과물이 예술적ㆍ창의적 표현물에 해당하거나 그 일부를 구성하는 경우에는 전시 또는 향유 등을 저해하지 아니하는 방식으로 고지 또는 표시할 수 있다.
④ 그 밖에 제1항에 따른 사전고지, 제2항에 따른 표시, 제3항에 따른 고지 또는 표시의 방법 및 그 예외 등에 관하여 필요한 사항은 대통령령으로 정한다."
specific_query,2,ai-trust-basic-act-20676-main-article-2-part-05,본칙,제1장 총칙,제2조,정의,item,0.5273,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
5. “생성형 인공지능”이란 입력한 데이터(「데이터 산업진흥 및 이용촉진에 관한 기본법」 제2조제1호에 따른 데이터를 말한다. 이하 같다)의 구조와 특성을 모방하여 글, 소리, 그림, 영상, 그 밖의 다양한 결과물을 생성하는 인공지능시스템을 말한다."
specific_query,3,ai-trust-basic-act-20676-main-article-2-part-09,본칙,제1장 총칙,제2조,정의,item,0.5187,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
9. “영향받는 자”란 인공지능제품 또는 인공지능서비스에 의하여 자신의 생명, 신체의 안전 및 기본권에 중대한 영향을 받는 자를 말한다."
specific_query,4,ai-trust-basic-act-20676-main-article-2-part-02,본칙,제1장 총칙,제2조,정의,item,0.5176,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제1장 총칙
제2조(정의)
이 법에서 사용하는 용어의 뜻은 다음과 같다.<개정 2026. 1. 20.> [시행일: 2026. 1. 24.] 제2조제4호라목 중 디지털의료기기에 관한 부분
2. “인공지능시스템”이란 다양한 수준의 자율성과 적응성을 가지고 주어진 목표를 위하여 실제 및 가상환경에 영향을 미치는 예측, 추천, 결정 등의 결과물을 추론하는 인공지능 기반 시스템을 말한다."
specific_query,5,ai-trust-basic-act-20676-main-article-22-2-part-03,본칙,제3장 인공지능기술 개발 및 산업 육성,제22조의2,인공지능연구소의 설립 및 지원 등,paragraph,0.5056,"인공지능 발전과 신뢰 기반 조성 등에 관한 기본법
본칙 | 제3장 인공지능기술 개발 및 산업 육성
제22조의2(인공지능연구소의 설립 및 지원 등)
③ 인공지능연구소에 소장을 둔다. 인공지능연구소의 소장은 인공지능연구소를 대표하고 인공지능연구소의 업무를 총괄한다."
