query,rank,doc_id,document_id,section,similarity,text
baseline,1,report5-001,sample-report-05,문서 메타데이터 및 종합 판단,0.5614,"2026 MID-YEAR PEOPLE OPERATIONS REPORT

2026년 사내 리모트워크운영 현황 보고서

상반기 운영 성과, 리스크 및 하반기 개선 계획

기준 기간 | 2026. 1. 1. - 6. 30. | 작성일 | 2026. 7. 15.
작성 부서 | 인사운영팀 | 문서 등급 | 내부용

종합 판단  리모트워크는 안정화 단계에 진입했다. 다만 부서 간 활용 격차와 신입 온보딩 품질을 하반기 핵심 통제 과제로 관리할 필요가 있다."
baseline,2,report5-002,sample-report-05,경영진 요약,0.4037,"# 경영진 요약

핵심 지표 | 2026년 상반기, 전년 대비

정기 이용률 | 제도 만족도 | 관리자 만족도 | 협업 지연 경험
68%  ▲ 6%p | 78%  ▲ 4%p | 72%  ▲ 5%p | 32%  ▼ 9%p"
baseline,3,report5-006,sample-report-05,2. 만족도 및 협업 효과,0.3864,"# 2. 만족도 및 협업 효과

6월 전사 설문에는 212명이 참여해 88%의 응답률을 기록했다. 전반 만족도는 상승했으나, 소통 경험과 장비 지원은 개선 여지가 남아 있다.

표 3. 경험 항목별 긍정 응답률

평가 항목 | 긍정 응답 | 전년 대비 | 판단
출퇴근 부담 감소 | 88% | +2%p | 강점 유지
업무 자율성 | 84% | +3%p | 강점 유지
집중 업무 환경 | 82% | +5%p | 개선 확인
제도 전반 만족 | 78% | +4%p | 목표 상회
장비·IT 지원 | 71% | +6%p | 추가 보완
팀 커뮤니케이션 | 69% | +4%p | 우선 개선
화상회의 피로 관리 | 64% | +7%p | 우선 개선

협업 불편 변화  의사결정·피드백 지연 35%(-6%p), 화상회의 피로 26%(-1%p), 자료·결정 내용 탐색 21%(-1%p), 장비·접속 환경 18%(-1%p)로 모두 개선됐다."
top1_top3_top1,1,report5-010,sample-report-05,집중 진단 2 | 하이브리드 회의 격차,0.4334,"## 집중 진단 2 | 하이브리드 회의 격차

참여자의 29%가 발언 순서와 화면 밖 논의를 따라가기 어렵다고 답했다. 결정 사항이 남지 않으면 후속 질의가 평균 1.8배 늘었다.

보완 방향  진행자와 기록자를 지정하고, 종료 2시간 이내 결정·담당자·기한을 공용 공간에 게시한다.

통제 원칙  직무 특성과 팀 협업 리듬을 기준으로 원칙을 설명하고, 개인 활동량이 아닌 보안·성과·경험 지표를 월 단위로 관리한다. 문제 발생 시 원격 일수보다 프로세스·역할·도구를 먼저 개선한다.

04  H2 ACTION PLAN"
top1_top3_top3,1,report5-010,sample-report-05,집중 진단 2 | 하이브리드 회의 격차,0.4333,"## 집중 진단 2 | 하이브리드 회의 격차

참여자의 29%가 발언 순서와 화면 밖 논의를 따라가기 어렵다고 답했다. 결정 사항이 남지 않으면 후속 질의가 평균 1.8배 늘었다.

보완 방향  진행자와 기록자를 지정하고, 종료 2시간 이내 결정·담당자·기한을 공용 공간에 게시한다.

통제 원칙  직무 특성과 팀 협업 리듬을 기준으로 원칙을 설명하고, 개인 활동량이 아닌 보안·성과·경험 지표를 월 단위로 관리한다. 문제 발생 시 원격 일수보다 프로세스·역할·도구를 먼저 개선한다.

04  H2 ACTION PLAN"
top1_top3_top3,2,report5-006,sample-report-05,2. 만족도 및 협업 효과,0.3303,"# 2. 만족도 및 협업 효과

6월 전사 설문에는 212명이 참여해 88%의 응답률을 기록했다. 전반 만족도는 상승했으나, 소통 경험과 장비 지원은 개선 여지가 남아 있다.

표 3. 경험 항목별 긍정 응답률

평가 항목 | 긍정 응답 | 전년 대비 | 판단
출퇴근 부담 감소 | 88% | +2%p | 강점 유지
업무 자율성 | 84% | +3%p | 강점 유지
집중 업무 환경 | 82% | +5%p | 개선 확인
제도 전반 만족 | 78% | +4%p | 목표 상회
장비·IT 지원 | 71% | +6%p | 추가 보완
팀 커뮤니케이션 | 69% | +4%p | 우선 개선
화상회의 피로 관리 | 64% | +7%p | 우선 개선

협업 불편 변화  의사결정·피드백 지연 35%(-6%p), 화상회의 피로 26%(-1%p), 자료·결정 내용 탐색 21%(-1%p), 장비·접속 환경 18%(-1%p)로 모두 개선됐다."
top1_top3_top3,3,report5-004,sample-report-05,하반기 우선 조치,0.31,"## 하반기 우선 조치

① 팀별 협업일 고정  ② 신입 90일 온보딩 기준 강화  ③ 30분 회의 원칙과 결정 로그 정착  ④ 장비 지원 SLA 표준화

01  OPERATING SNAPSHOT"
short_query,1,report5-010,sample-report-05,집중 진단 2 | 하이브리드 회의 격차,0.332,"## 집중 진단 2 | 하이브리드 회의 격차

참여자의 29%가 발언 순서와 화면 밖 논의를 따라가기 어렵다고 답했다. 결정 사항이 남지 않으면 후속 질의가 평균 1.8배 늘었다.

보완 방향  진행자와 기록자를 지정하고, 종료 2시간 이내 결정·담당자·기한을 공용 공간에 게시한다.

통제 원칙  직무 특성과 팀 협업 리듬을 기준으로 원칙을 설명하고, 개인 활동량이 아닌 보안·성과·경험 지표를 월 단위로 관리한다. 문제 발생 시 원격 일수보다 프로세스·역할·도구를 먼저 개선한다.

04  H2 ACTION PLAN"
short_query,2,compare-notice-01,notice-01,사내 동호회,0.2906,이번 분기 사내 등산 동호회 정기 모임은 다음 달 첫째 주 토요일에 진행된다.
short_query,3,compare-guide-01,guide-01,재택근무 가이드,0.2873,재택근무 직원은 매일 오전 정기 화상 회의에 접속해 업무 현황을 공유해야 한다.
